"id","deletedDateTime","appId","applicationTemplateId","disabledByMicrosoftStatus","createdDateTime","displayName","description","groupMembershipClaims","identifierUris","isDeviceOnlyAuthSupported","isFallbackPublicClient","nativeAuthenticationApisEnabled","notes","publisherDomain","serviceManagementReference","signInAudience","tags","tokenEncryptionKeyId","uniqueName","samlMetadataUrl","defaultRedirectUri","certification","optionalClaims","servicePrincipalLockConfiguration","requestSignatureVerification","addIns","api","appRoles","info","keyCredentials","parentalControlSettings","passwordCredentials","publicClient","requiredResourceAccess","verifiedPublisher","web","spa"
"0b40ffcb-b23b-4174-9c75-af0a52e480de",,"b726dc87-c329-4738-ba89-e80cf4bbc4e0","8adf8e6e-67b2-4cf2-a259-e3dc5476c621",,"22-11-2024 04:50:21","megthink_daemon",,,"System.Object[]",,"False",,,"MegThink582.onmicrosoft.com",,"AzureADMyOrg","System.Object[]",,,,,,,,,"System.Object[]","@{acceptMappedClaims=; knownClientApplications=System.Object[]; requestedAccessTokenVersion=; oauth2PermissionScopes=System.Object[]; preAuthorizedApplications=System.Object[]}","System.Object[]","@{logoUrl=; marketingUrl=; privacyStatementUrl=; supportUrl=; termsOfServiceUrl=}","System.Object[]","@{countriesBlockedForMinors=System.Object[]; legalAgeGroupRule=Allow}","System.Object[]","@{redirectUris=System.Object[]}","System.Object[]","@{displayName=; verifiedPublisherId=; addedDateTime=}","@{homePageUrl=https://account.activedirectory.windowsazure.com:444/applications/default.aspx?metadata=customappsso|ISV9.1|primary|z; logoutUrl=; redirectUris=System.Object[]; implicitGrantSettings=; redirectUriSettings=System.Object[]}","@{redirectUris=System.Object[]}"
"10678929-077c-4f83-bf86-88f13ada167b",,"d8ce435c-4948-480f-899c-d2920858a7a3","8adf8e6e-67b2-4cf2-a259-e3dc5476c621",,"19-11-2024 10:15:56","OKTAS",,,"System.Object[]",,"False",,,"MegThink582.onmicrosoft.com",,"AzureADMyOrg","System.Object[]",,,,"https://trial-1078404.okta.com/sso/saml2/0oalokx47rtLUZzvy697",,,,,"System.Object[]","@{acceptMappedClaims=; knownClientApplications=System.Object[]; requestedAccessTokenVersion=; oauth2PermissionScopes=System.Object[]; preAuthorizedApplications=System.Object[]}","System.Object[]","@{logoUrl=; marketingUrl=; privacyStatementUrl=; supportUrl=; termsOfServiceUrl=}","System.Object[]","@{countriesBlockedForMinors=System.Object[]; legalAgeGroupRule=Allow}","System.Object[]","@{redirectUris=System.Object[]}","System.Object[]","@{displayName=; verifiedPublisherId=; addedDateTime=}","@{homePageUrl=https://account.activedirectory.windowsazure.com:444/applications/default.aspx?metadata=customappsso|ISV9.1|primary|z; logoutUrl=; redirectUris=System.Object[]; implicitGrantSettings=; redirectUriSettings=System.Object[]}","@{redirectUris=System.Object[]}"
"2747f3dd-b4f2-4503-9f7d-f6fc4d9eb9c5",,"ba2187c0-3a1c-4875-834b-8712fc1bc595","8adf8e6e-67b2-4cf2-a259-e3dc5476c621",,"16-11-2024 04:49:23","MegThinkEntra",,"All","System.Object[]",,"False",,,"MegThink582.onmicrosoft.com",,"AzureADMyOrg","System.Object[]",,,,"https://trial-1078404.okta.com/sso/saml2/0oalkokzxzOC8Tu4e697",,"@{accessToken=System.Object[]; idToken=System.Object[]; saml2Token=System.Object[]}",,,"System.Object[]","@{acceptMappedClaims=; knownClientApplications=System.Object[]; requestedAccessTokenVersion=; oauth2PermissionScopes=System.Object[]; preAuthorizedApplications=System.Object[]}","System.Object[]","@{logoUrl=; marketingUrl=; privacyStatementUrl=; supportUrl=; termsOfServiceUrl=}","System.Object[]","@{countriesBlockedForMinors=System.Object[]; legalAgeGroupRule=Allow}","System.Object[]","@{redirectUris=System.Object[]}","System.Object[]","@{displayName=; verifiedPublisherId=; addedDateTime=}","@{homePageUrl=https://account.activedirectory.windowsazure.com:444/applications/default.aspx?metadata=customappsso|ISV9.1|primary|z; logoutUrl=; redirectUris=System.Object[]; implicitGrantSettings=; redirectUriSettings=System.Object[]}","@{redirectUris=System.Object[]}"
"5686511b-23d1-45cc-ab69-7ddfdc86b94b",,"6ce42e36-1ab0-472f-9c2e-54f9f1850360",,,"28-11-2024 09:57:31"," ASP.NET Graph Tutorial2",,,"System.Object[]",,,,,"MegThink582.onmicrosoft.com",,"AzureADandPersonalMicrosoftAccount","System.Object[]",,,,,,,"@{isEnabled=True; allProperties=True; credentialsWithUsageVerify=True; credentialsWithUsageSign=True; identifierUris=False; tokenEncryptionKeyId=True}",,"System.Object[]","@{acceptMappedClaims=; knownClientApplications=System.Object[]; requestedAccessTokenVersion=2; oauth2PermissionScopes=System.Object[]; preAuthorizedApplications=System.Object[]}","System.Object[]","@{logoUrl=; marketingUrl=; privacyStatementUrl=; supportUrl=; termsOfServiceUrl=}","System.Object[]","@{countriesBlockedForMinors=System.Object[]; legalAgeGroupRule=Allow}","System.Object[]","@{redirectUris=System.Object[]}","System.Object[]","@{displayName=; verifiedPublisherId=; addedDateTime=}","@{homePageUrl=; logoutUrl=; redirectUris=System.Object[]; implicitGrantSettings=; redirectUriSettings=System.Object[]}","@{redirectUris=System.Object[]}"
"5ba33a8b-0625-4473-9076-9839270a9e16",,"08631d4c-e035-401c-9f58-7252c884b8b0",,,"21-11-2024 05:47:58","dotnet-web-daemon-v2",,,"System.Object[]",,,,,"MegThink582.onmicrosoft.com",,"AzureADMyOrg","System.Object[]",,,,,,,"@{isEnabled=True; allProperties=True; credentialsWithUsageVerify=True; credentialsWithUsageSign=True; identifierUris=False; tokenEncryptionKeyId=True}",,"System.Object[]","@{acceptMappedClaims=; knownClientApplications=System.Object[]; requestedAccessTokenVersion=; oauth2PermissionScopes=System.Object[]; preAuthorizedApplications=System.Object[]}","System.Object[]","@{logoUrl=; marketingUrl=; privacyStatementUrl=; supportUrl=; termsOfServiceUrl=}","System.Object[]","@{countriesBlockedForMinors=System.Object[]; legalAgeGroupRule=Allow}","System.Object[]","@{redirectUris=System.Object[]}","System.Object[]","@{displayName=; verifiedPublisherId=; addedDateTime=}","@{homePageUrl=; logoutUrl=; redirectUris=System.Object[]; implicitGrantSettings=; redirectUriSettings=System.Object[]}","@{redirectUris=System.Object[]}"
"a7d0a026-f2e2-45c7-83ca-6f6cb9623543",,"1eed7487-fd19-406c-9a28-ba33c2a26636",,,"11-12-2024 06:15:47","StudentPortal",,,"System.Object[]",,,,,"MegThink582.onmicrosoft.com",,"AzureADMultipleOrgs","System.Object[]",,,,,,,"@{isEnabled=True; allProperties=True; credentialsWithUsageVerify=True; credentialsWithUsageSign=True; identifierUris=False; tokenEncryptionKeyId=True}",,"System.Object[]","@{acceptMappedClaims=; knownClientApplications=System.Object[]; requestedAccessTokenVersion=; oauth2PermissionScopes=System.Object[]; preAuthorizedApplications=System.Object[]}","System.Object[]","@{logoUrl=; marketingUrl=; privacyStatementUrl=; supportUrl=; termsOfServiceUrl=}","System.Object[]","@{countriesBlockedForMinors=System.Object[]; legalAgeGroupRule=Allow}","System.Object[]","@{redirectUris=System.Object[]}","System.Object[]","@{displayName=; verifiedPublisherId=; addedDateTime=}","@{homePageUrl=; logoutUrl=; redirectUris=System.Object[]; implicitGrantSettings=; redirectUriSettings=System.Object[]}","@{redirectUris=System.Object[]}"
"bc50e364-8505-40d2-ac7b-36c84958695f",,"8fb78fd1-d639-4fa0-a94f-5dfb9ca1fe52","8adf8e6e-67b2-4cf2-a259-e3dc5476c621",,"16-11-2024 11:30:29","OKTA",,,"System.Object[]",,"False",,,"MegThink582.onmicrosoft.com",,"AzureADMyOrg","System.Object[]",,,,"https://trial-1078404.okta.com/oauth2/v1/authorize/callback",,,,,"System.Object[]","@{acceptMappedClaims=; knownClientApplications=System.Object[]; requestedAccessTokenVersion=; oauth2PermissionScopes=System.Object[]; preAuthorizedApplications=System.Object[]}","System.Object[]","@{logoUrl=; marketingUrl=; privacyStatementUrl=; supportUrl=; termsOfServiceUrl=}","System.Object[]","@{countriesBlockedForMinors=System.Object[]; legalAgeGroupRule=Allow}","System.Object[]","@{redirectUris=System.Object[]}","System.Object[]","@{displayName=; verifiedPublisherId=; addedDateTime=}","@{homePageUrl=https://account.activedirectory.windowsazure.com:444/applications/default.aspx?metadata=customappsso|ISV9.1|primary|z; logoutUrl=; redirectUris=System.Object[]; implicitGrantSettings=; redirectUriSettings=System.Object[]}","@{redirectUris=System.Object[]}"
"dd349d05-0409-4d00-a7b1-cae3d726069e",,"f1b2ee1c-b263-42ca-b298-601666469a06",,,"27-11-2024 09:43:09","ASP.NET Graph Tutorial",,,"System.Object[]",,,,,"MegThink582.onmicrosoft.com",,"AzureADandPersonalMicrosoftAccount","System.Object[]",,,,,,,"@{isEnabled=True; allProperties=True; credentialsWithUsageVerify=True; credentialsWithUsageSign=True; identifierUris=False; tokenEncryptionKeyId=True}",,"System.Object[]","@{acceptMappedClaims=; knownClientApplications=System.Object[]; requestedAccessTokenVersion=2; oauth2PermissionScopes=System.Object[]; preAuthorizedApplications=System.Object[]}","System.Object[]","@{logoUrl=; marketingUrl=; privacyStatementUrl=; supportUrl=; termsOfServiceUrl=}","System.Object[]","@{countriesBlockedForMinors=System.Object[]; legalAgeGroupRule=Allow}","System.Object[]","@{redirectUris=System.Object[]}","System.Object[]","@{displayName=; verifiedPublisherId=; addedDateTime=}","@{homePageUrl=; logoutUrl=; redirectUris=System.Object[]; implicitGrantSettings=; redirectUriSettings=System.Object[]}","@{redirectUris=System.Object[]}"
"df1a13b6-ebd0-41da-8bbf-9d39cd56b978",,"6d679325-69b5-433f-90b6-02126564d626",,,"20-11-2024 12:53:03","Test-Graph",,,"System.Object[]",,,,,"MegThink582.onmicrosoft.com",,"AzureADMyOrg","System.Object[]",,,,,,,"@{isEnabled=True; allProperties=True; credentialsWithUsageVerify=True; credentialsWithUsageSign=True; identifierUris=False; tokenEncryptionKeyId=True}",,"System.Object[]","@{acceptMappedClaims=; knownClientApplications=System.Object[]; requestedAccessTokenVersion=; oauth2PermissionScopes=System.Object[]; preAuthorizedApplications=System.Object[]}","System.Object[]","@{logoUrl=; marketingUrl=; privacyStatementUrl=; supportUrl=; termsOfServiceUrl=}","System.Object[]","@{countriesBlockedForMinors=System.Object[]; legalAgeGroupRule=Allow}","System.Object[]","@{redirectUris=System.Object[]}","System.Object[]","@{displayName=; verifiedPublisherId=; addedDateTime=}","@{homePageUrl=; logoutUrl=; redirectUris=System.Object[]; implicitGrantSettings=; redirectUriSettings=System.Object[]}","@{redirectUris=System.Object[]}"
"e12c7c79-be32-45c8-8ed0-a1323b130b69",,"14d0ac9d-4881-4092-baf9-fe2c2798028d",,,"02-12-2024 09:56:51","Postman",,,"System.Object[]",,,,,"MegThink582.onmicrosoft.com",,"AzureADMyOrg","System.Object[]",,,,,,,"@{isEnabled=True; allProperties=True; credentialsWithUsageVerify=True; credentialsWithUsageSign=True; identifierUris=False; tokenEncryptionKeyId=True}",,"System.Object[]","@{acceptMappedClaims=; knownClientApplications=System.Object[]; requestedAccessTokenVersion=; oauth2PermissionScopes=System.Object[]; preAuthorizedApplications=System.Object[]}","System.Object[]","@{logoUrl=; marketingUrl=; privacyStatementUrl=; supportUrl=; termsOfServiceUrl=}","System.Object[]","@{countriesBlockedForMinors=System.Object[]; legalAgeGroupRule=Allow}","System.Object[]","@{redirectUris=System.Object[]}","System.Object[]","@{displayName=; verifiedPublisherId=; addedDateTime=}","@{homePageUrl=; logoutUrl=; redirectUris=System.Object[]; implicitGrantSettings=; redirectUriSettings=System.Object[]}","@{redirectUris=System.Object[]}"
